2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,In Current Dollars
19854.00,21488.00,22834.00,24044.00,25416.00,26393.00,27523.00,28591.00,29521.00,30023.00,30579.00,31282.00,32189.00,31810.00,33010.00,33963.00,36001.00,0.06,0.15,"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus"
14942.00,15708.00,17234.00,18691.00,19999.00,20688.00,20688.00,20652.00,21304.00,21936.00,22037.00,22586.00,23292.00,24500.00,25240.00,26412.00,33217.20,0.26,0.47,University of New Mexico
14839.00,15656.00,17698.00,18851.00,19771.00,20513.00,20513.00,20549.00,20792.00,21053.00,21726.00,22236.00,23085.00,24020.00,24680.00,25339.00,25968.00,0.02,0.17,University of Nevada: Reno
12478.00,12545.00,15036.00,15546.00,16932.00,18609.00,20366.00,22291.00,24541.00,26814.00,27338.00,27769.00,28194.00,28200.00,28700.00,28702.00,30572.00,0.07,0.10,State University of New York at Buffalo
21918.00,22298.00,22404.00,23604.00,24630.00,25445.00,25757.00,26537.00,27365.00,29229.00,29695.00,30742.00,32061.00,33500.00,35020.00,36722.00,38365.00,0.04,0.25,Ohio State University: Columbus Campus
15621.00,17404.00,17704.00,18295.00,19278.00,20343.00,21104.00,22269.00,23476.00,25203.00,26919.00,27144.00,27144.00,27070.00,27820.00,28692.00,29562.90,0.03,0.09,University of Oklahoma
19332.00,19992.00,23730.00,25830.00,27653.00,28660.00,29788.00,30888.00,32024.00,33442.00,34611.00,35478.00,36615.00,39310.00,40460.00,41700.00,43300.05,0.04,0.22,University of Oregon
23712.00,24940.00,25972.00,27114.00,28066.00,28746.00,29566.00,30452.00,31346.00,32382.00,33664.00,34858.00,35514.00,35510.00,36480.00,38102.00,39626.00,0.04,0.14,Penn State University Park
23038.00,24776.00,26198.00,27182.00,27454.00,28016.00,28016.00,28072.00,28852.00,28874.00,30042.00,30862.00,31686.00,32580.00,33350.00,34362.00,35804.00,0.04,0.16,University of Rhode Island
21632.00,22908.00,23732.00,25362.00,26352.00,27644.00,28528.00,29440.00,30298.00,31282.00,32362.00,33298.00,33928.00,33930.00,33930.00,33928.00,34934.00,0.03,0.05,University of South Carolina
6631.00,7148.00,7892.00,8259.00,8924.00,9650.00,10104.00,10104.00,11337.00,11688.00,12020.00,12425.00,12807.00,12810.00,12940.00,12942.00,12942.00,0.00,0.04,University of South Dakota
17874.00,18908.00,20646.00,22420.00,25238.00,27282.00,29384.00,30066.00,30626.00,30914.00,31160.00,31196.00,31454.00,31680.00,31664.00,31664.00,31974.00,0.01,0.02,University of Tennessee: Knoxville
24544.00,27760.00,30006.00,31266.00,32379.00,33060.00,33824.00,34722.00,34836.00,35906.00,36984.00,37724.00,38228.00,38330.00,38650.00,38650.00,40582.00,0.05,0.08,University of Texas at Austin
15662.00,16601.00,18193.00,19841.00,21389.00,22642.00,23736.00,25267.00,26022.00,27039.00,28067.00,29215.00,30132.00,30130.00,31390.00,33045.00,33045.16,0.00,0.13,University of Utah
27515.00,29798.00,31326.00,32902.00,35898.00,37336.00,39844.00,42184.00,43082.00,45058.00,45922.00,47562.00,49970.00,51830.00,51940.00,54388.00,56428.00,0.04,0.19,University of Virginia
27938.00,29682.00,31454.00,32630.00,34424.00,35612.00,36646.00,37844.00,39130.00,40364.00,41356.00,42516.00,43690.00,43950.00,43890.00,43890.00,43890.00,0.00,0.03,University of Vermont
22131.00,23324.00,24639.00,25601.00,28310.00,31016.00,31971.00,33513.00,34143.00,34791.00,35538.00,36588.00,38166.00,39110.00,39910.00,40740.00,41997.00,0.03,0.15,University of Washington
21438.00,21818.00,23095.00,24233.00,25421.00,26634.00,26653.00,26660.00,29665.00,32738.00,34783.00,36805.00,37785.00,38630.00,38654.00,39427.00,40603.00,0.03,0.10,University of Wisconsin-Madison
14600.00,15770.00,16402.00,17002.00,17844.00,18868.00,19632.00,20424.00,21432.00,22488.00,23616.00,24950.00,25320.00,25320.00,25820.00,26568.00,27360.00,0.03,0.10,West Virginia University
10394.00,11031.00,11697.00,12237.00,12855.00,13428.00,14124.00,14876.00,15631.00,16215.00,16827.00,17490.00,18151.00,19530.00,20650.00,21590.52,22478.00,0.04,0.29,University of Wyoming
